pais;entidad_estatal;referencia;descripcion;fase_actual;fecha_publicacion;fecha_presentacion_ofertas;url_detalle
COLOMBIA;ALCALDIA SAN PABLO DE BORBUR;CD-SPB-111-2026;CONTRATO INTERADMINISTRATIVO DE GERENCIA INTEGRAL Y ADMINISTRACIÓN DELEGADA DE LOS RECURSOS PARA EL CONTRATO DE OBRA PÚBLICA PARA LA CONSTRUCCIÓN DE ESCENARIO DEPORTIVO EN LA ESCUELA PÁRAMO LAGUNAS DE;Presentación de oferta;3 días de tiempo transcurrido (14/08/2026 11:32:58 AM(UTC-05:00) Bogotá, Lima, Quito);18 horas de tiempo transcurrido (17/08/2026 2:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10711198
COLOMBIA;ALCALDIA MUNICIPAL DE BARANOA;CMA-002-2026;INTERVENTORIA ACUEDUCTO PITAL DE MEGUA;Presentación de observaciones;3 días de tiempo transcurrido (14/08/2026 10:09:06 AM(UTC-05:00) Bogotá, Lima, Quito);13 días para terminar (31/08/2026 9:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10710085
COLOMBIA;FOMCOLOMBIA;INT-SMC-013-2026;INTERVENTORÍA TÉCNICA, ADMINISTRATIVA Y FINANCIERA PARA EL OBJETO DENOMINADO: MEJORAMIENTO DE LAS VÍAS INTERNAS DEL CENTRO POBLADO EL ALGARROBO Y LA VEREDA CARRIZALES, ZONA RURAL DEL MUNICIPIO DE OROC;Presentación de oferta;3 días de tiempo transcurrido (14/08/2026 8:51:28 AM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10709058
COLOMBIA;ESE HOSPITAL PSIQUIÁTRICO SAN CAMILO;389-2026;PRESTAR SERVICIOS PROFESIONALES PARA EL DESARROLLO Y ORGANIZACIÓN DE LOS CONVENIOS DOCENCIA SERVICIO;Presentación de oferta;4 días de tiempo transcurrido (14/08/2026 7:53:16 AM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10709125
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-407-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA APOYAR LA FORMULACIÓN, ESTRUCTURACIÓN, ORGANIZACIÓN Y SEGUIMIENTO DE PROYECTOS, PROCESOS E INSTRUMENTOS DE PLANEACIÓN INSTITUCIONAL A CARGO DE LA SE;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:43:20 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10707770
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-406-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA BRINDAR ACOMPAÑAMIENTO TÉCNICO Y FINANCIERO A LA SUPERVISIÓN DEL CONVENIO INTERADMINISTRATIVO No. 3128-2024, MEDIANTE EL SEGUIMIENTO A LA EJECUCIÓN;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:39:45 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708068
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-405-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA BRINDAR ASESORÍA Y ACOMPAÑAMIENTO TÉCNICO, JURÍDICO Y ESTRATÉGICO A LA SECRETARÍA DE PLANEACIÓN EN EL APOYO AL EJERCICIO DE LA SUPERVISIÓN DEL CONVE;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:34:55 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708063
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-404-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA BRINDAR ACOMPAÑAMIENTO TÉCNICO A LA SUPERVISIÓN DEL CONVENIO INTERADMINISTRATIVO NO. 3128-2024, APOYANDO LAS ACTIVIDADES DE ASEGURAMIENTO DE LA CALI;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:30:57 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708135
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-403-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA BRINDAR ACOMPAÑAMIENTO TÉCNICO A LA SECRETARÍA DE PLANEACIÓN EN LA COORDINACIÓN DEL PROYECTO DE FORTALECIMIENTO DE LA GESTIÓN CATASTRAL DEL MUNICIPI;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:26:49 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708132
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-402-2026;PRESTAR SERVICIOS PROFESIONALES PARA APOYAR A LA SECRETARÍA DE PLANEACIÓN EN EL SEGUIMIENTO, ANÁLISIS ESPACIAL, ORGANIZACIÓN Y SISTEMATIZACIÓN DE LA INFORMACIÓN DERIVADA DE LOS PROCESOS DE RECLAMACION;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:20:24 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708204
